Wine;Number of reviews;Summary
Heritage Reserve;21;A handful of vineyards and additions of Merlot, Cabernet Franc, Malbec and Petit Verdot make up the whole of this wine, a cool-climate style accented in spicy red currant, cherry and woody tannin. This reserve-level wine is meant to represent the best barrels of the vintage, coming from grapes grown on both the Schug Estate and Wildcat Vineyard, which makes up the majority at 80%. A Cabernet with 12% Merlot, 4% Cabernet Franc and 1% Petit Verdot blended in, all from Sonoma Valley's Rancho Salina Vineyard, this wine is medium in weight and viscous.
Nimbus Single Vineyard;21;The palate on this warm-vintage Syrah feels chunky and a touch stewed, while ripe, jammy dark-berry flavors hold onto an herbal, stewy note of tomato and oregano. Dried berry and oak-based flavors of spice and wood grain finish with hints of clove on a finish that could use more harmony and depth. This feels lively and easy to take, while flavors of green herbs, grass and citrus finish a touch bitter, evidence of a cool vintage.
Klipsun Vineyard;21;Brooding aromas of spice, mineral, green herb, cedar, cherry and a minty top note lead to sweet yet elegant black fruit flavors and firm, burly tannins that need time to stretch their legs. There's a whole lot of appeal in this wine, with aromas of dark raspberries and barrel spices leading to rich, full-bodied fruit flavors with a velvety texture. Dark, dense and lush with rock, cracked pepper, Bing cherries, streaks of spice and mocha, this nicely aged and softened Merlot is full and open.
Gaisberg Reserve;21;As befits this vintage, everything is tempered with grapefruit zestiness but both mirabelle and apricot richness not only lend flavor but also a beautiful texture that insinuates quince and blood orange zest. A very subtle nose gives a mere glimpse of lemon zest, the palate delivers a thrillingly pure and exquisitely honest flavor that suggests clear mountain lakes and clean Alpine air. This wine pulls off a daring feat: despite palate weight and concentration it has a light, almost delicate, feathery citrus touch and a streamlined, fresh palate.
Beckstoffer To Kalon Vineyard;21;"Richly concentrated and yet able to find a balance of acidity and freshness within its voluptuous nature, this wine impresses from end to end and will do well in the cellar; enjoy best from 2023 to 2025. Mocha, baked plum and black pepper play equal roles in this stunning, full-bodied beauty from the famous site, all within a tightly focused, integrated experience of seamless texture and structure. A 100% Cabernet Sauvignon from a prominent site, this wine boasts bright, juicy red cassis and pomegranate fruit supported by complex layers of dried herb, coconut and pencil shavings."
Veni Vidi Vici;21;Pale straw colored, with aromas of white flower, lemon blossom and vanilla caramel, this fills your mouth with flavors of caramelized apple tart and finishes with crisp, clean acidity and a splash of lemon zest at the back of the palate. Pale straw in the glass, this wine has aromas of lemon grass and grapefruit pith that pave the way for delightful flavors of Honey Crisp apples and red grapefruit juice. This garnet-colored Merlot has aromas of black plum, cherry and saddle leather which pave the way for soft flavors of raspberry, red plum and a smooth tannic finish.
Grande Cuvée;21;"More lush and internationally styled than their La Pompadour, the Grande Cuvée offers rich notes of creamy vanilla, jammy raspberry and blackberry, crushed violets and orange peel all graced with a mentholated lift. Each vineyard's grapes were separately fermented; the blending has pulled them all together with dark, plummy flavors, notes of raisin, baking spices and caramel, and a smooth, penetrating finish. Fournier's top Sancerre wine is released with just that extra bit of maturity, giving it extra depth and richness, and turning the initial fruitiness into something more serious."
Vaudésir Grand Cru;21;This wine has weight, richness and an intense texture and structure that brings tannins and a firm background to the generous yellow fruits, ripe apples and crisp green plums. From vines on the sunny side of the vineyard, this wine is richly textured and structured, full of generous yellow and white fruits, spice and layers of wood aging. It has a rich feel to it, touched by toast and a hint of honey, it has a firm wood aging character, a firm structure and considerable potential.
Select;21;While richly concentrated, with a plump, sunny, yellow peach and sweet lemon character, Wagner's Select Riesling boasts darker tones of bitter tea and a slightly herbal aroma that runs from start to finish. Rich and full bodied on the palate, bright, fresh apple and lemon flavors linger elegantly on the tongue with a hint of bitter lime pith. Foresty berry aromas are backed up by baking spice, cola and toasty oak notes on the nose of this chewy, dense, fairly tannic Malbec.
Coro Mendocino;21;McNab Ridge is among the few Mendocino producers to make Pinotage, so it's fitting that the variety finds its way into Coro, one of the smaller offerings of the vintage at 65 cases. Soft, still grippy tannins weave well into the midpalate and finish, signaling it as a match for roast chicken or barbecued pork ribs not too swaddled in sauce. An intriguing oak spiciness on both the nose and the palate makes this medium-bodied wine interesting without overpowering the focused and vivid raspberry and red cherry flavors.
Two Vines;21;"Tart berry fruit and some stiff tannins suggest that a bit more bottle age may help to soften it; there are already some pleasing suggestions of barrel toast that run through the aromas and on into the finish. Occupying the bottom rung (in terms of cost) of the Columbia Crest ladder, Two Vines wines are generally light, quite clean and simple, with a minimum exposure to oak. It's beginning to flatten out as a result, the freshness fading, though the fruit is still there and it is a pleasant effort, with some buttered apple flavors dominant."
Special Selection;21;Perfumed in rose, this wine devolves into a tightly tannic expression of black tea and bittersweet dried cranberry, resisting the urge to come together in a more seamless way. Blackberry tart, ripe blueberry, cassis, milk chocolate, licorice and sweet, smoky cedar flavors flood the mouth, dramatically huge and memorable, and lasting long into the finish. Apple, sweet pear, buttery oak and popcorn are the main flavors on this sweet, pithy wine that when stripped down is fairly hollow and simple.
Anna Maria;21;Though the palate can't deliver all that the aromas have to offer, there's intrigue to this estate Tempranillo with notes of dark flowers, sweet tobacco, and dried tea leaves playing off olive and other savory notes. Cabernet Franc seems to be a strength in the Rogue Valley, as the fruit expression is good and the aggressive herbaceousness of Cabernet Sauvignon is somewhat tamed. The throttle is pulled back in terms of feel while it still possesses a lot of richness to the fruit flavors and an impressively long finish.
Red Willow Vineyard;21;Coming from one of the state's top Syrah vineyards, this wine offers aromas of herb, stem, flower, smoked meat and marionberry that are followed by a velvety palate redolent with fruit and savory flavors. Coming from one of the state's top Syrah sites, this wine starts out quite aromatically closed up, with notes of brambly blue fruit and herbs, along with whiffs of orange peel and smoked meat. Pale straw in color, this white has aromas of toast and cream that lead to a full-feeling palate backed by a lick of lemony acidity and barrel flavors.
Signature Selection;22;Aged a little more than two years in 90% new French oak and then in bottle, time has been kind to this wine, a Syrah of dark mushroom and baked blackberry, that's savory and silky with a slight hint of mint on the finish. Ripe and thick kirsch aromas meet with a minty chocolate lift on the nose of this bottling from one of the most important producers in Temecula, where the winery's influence is unparalleled. Here's an unoaked wine that will be great as a cocktail sipper, or with a wide range of foods, from veggies with a garlicky dip to roasted chicken or broiled halibut.
Brut Prestige;22;The winery's signature sparkler, this blend of equal parts Chardonnay and Pinot Noir, with touches of Pinot Gris and Pinot Meunier, dazzles in rounded oak and a soft texture marked by grapefruit zest and fresh nectarine. The reticent nose gives almost nothing away but the palate fills with gentle flavors of shortbread and apple peel, of slightly bitter grapefruit zest and of sprays of citrussy freshness dispersed by a lively, fine-fizzing mousse. A solid brut from Mumm Napa, this Pinot-Chardonnay blend is a little rough around the edges, but has the dry, bubbly finesse of a true Champagne-style wine.
Keefer Ranch;22;The wine is very rich and slightly high in alcohol, offering deep flavors of oak-inspired raspberry jam, softened cola and bacon, brightened with crisp acidity and chewy in finely-ground tannins. Young, vibrant and fresh, this wine's crisp acidity frames pineapple and tropical fruit flavors, with a slight hint of botrytis in the form of golden apricot and honey. From Green Valley, the coolest part of the appellation, a wine with the most wonderful opening scents of ripe pears and the smoky perfume of oak.
Los Vascos;22;The palate has weight and zest but lacks complexity, while the flavors are citrusy and green, much like Sauvignon Blanc, which is common for this wine based on past performance. There's very juicy, jammy red berry fruit here and the round, even soft palate may lack a bit of structure, but this is a flavorful, very approachable wine. It is a lean, 100% Casablanca style of SB, and while it's a step down from the great 2007, the drop is not a big one.
Kosher;22;The balance of Cabernet and Merlot has been successfully achieved, as the wine is beautifully structured with a firm backbone of ample tannins and a rich, supple mouthfeel. Apple cider, orange rind and a touch of toast unfold on the nose, while the medium weight and juicy mouth offers more fresh red apple flavors. Faint suggestions of sweet smoke and beeswax mingle with the red apple and melon flavors, adding interest to this otherwise straightforward and easy drinking wine.
Azul Portugal;22;Made from fruit that's sourced from the Buçaco Mountains in the east of Bairrada, this wine is rich and elegant, and its juicy fruit provides a counterbalance to the structure. Fruity and smooth with bright red fruit and the lightest touch of tannin, this Castelão-dominated blend has a shot of acidity to keep it all crisp. Part of a range of wines that showcases the different styles of Portugal's regions, This wine is smooth, creamily textured and with a warm ripe character.
Selection;22;The archetypal pear flavors of Grüner Veltliner come to the fore: fresh, flavorsome and crunchy green Conference pear in this case, with zesty acidity in a linear, refreshing and zesty frame. This late release sourced from several vineyards dating back to the 1970s and 1980s is thin on the palate, with tart plum, herb, orange peel and of pineapple hints. Decent acidity supports the fruit and the smooth mouthfeel is pleasing, but the wine cuts off abruptly with a somewhat short, resinous close.
District Collection;22;Soft hints of cinnamon and clove waft upwards out of the bouquet, before a wave of warm red fruit and vanilla form around age-worthy, rounded tannins. Cherry-berry crumble topped with vanilla cream gives this wine a brambly, succulent quality, dusted in light cinnamon spice, cedar and well-integrated tannin and oak. Another of the producer's 100% varietal wines designed to showcase a specific Napa Valley appellation, this one shines in juicy black licorice and dark cherry.
Les Princes Abbés;22;The nose of this wine is restrained, just giving away pear and citrus, but the dry palate is concentrated and spiced with almond and marzipan. Exotic hints of passion fruit play among fresh flavors of citrus as well as riper, juicier stone fruit for a balanced, easy wine. These flavors blossom fully on the palate and leave a most harmonious picture of ample, dry, but well-expressed pear fruit with lovely freshness.
Russian River Selection;22;The components come together in mesmerizing ways, making for a balanced and restrained Pinot that's fresh in strawberry and cherry as well as seasonings of herb and cinnamon spice, building power as it goes. There are equal parts strawberry and earth in this Pinot, sourced from the who's who of vineyard sites in Russian River, including Toboni, Hallberg, Floodgate, Rochioli and Bacigalupi. Flavorwise, it's a powerhouse, with pear, green apple, lemon meringue, buttered toast and smoky, vanilla flavors that finish in a swirl of cloves and pepper.
Monarch Mine Vineyard;22;Reminiscent of a fine Sancerre, it's finely structured, steely and still lushly textured and full enough in the mouth to enjoy with seafood, a creamy goat cheese salad or entirely on its own. A fine vintage of Bill Easton's Cabernet Franc, from the Monarch Mine Vineyard, where he typically sources tremendous Syrah and Barbera, this wine is still developing and will do nicely with time. This standout wine has enticing herb and mineral aromas, plus rich, unorthodox flavors that resemble fresh fennel bulb and crisp white peach along with racy acidity and a good, substantial mouthfeel.
Alte Reben;22;Right now, yeasty tones still swing alongside the bright stone fruit but this will soon come into its own and show off the slender but distinct and food friendly nature of Pinot Blanc. Peppery spice lurks in the background against a tightly-knit, but soft tannic structure providing additional interest and making this a versatile, fruitful and refreshing wine. True to its varietal character, this is earthy, on the rustic, farmyard side, but balanced with concentrated licorice and fresh black berries.
Le Clos;22;With some tight tannins and rich black fruits, it is a ripe, juicy wine that has intense acidity as well as a spicy aftertaste. The fruits and the acidity still have to develop, but already the wine is showing the rounded character of a great Pouilly Fuissé. The 12 months in wood adds spice and a touch of toast as well as giving the wine a delicious oxidative edge.
Thompson Vineyard;23;Though younger than most current Petite Sirah releases, this bottling impresses wildly with fragrant boysenberries and crushed lavender on the nose, proving to be a floral-driven style that's not beaten down by richness or ripeness, despite the higher alcohol level that doesn't show at all. Overly sweet and simple, and something of a disappointment given the winery's past performance, this Syrah tastes like melted cherry jam, stirred with chocolate pie filling and sprinkled with fennel and pepper. Bright purple flowers, boysenberries, tar and a waxy, fruit-coating aroma show on the nose of this bottling from a vineyard near Los Alamos that is known for Rhône varietals.
Indian Wells;23;"The Indian Wells Cabernet Sauvignon seems a little reductive at the moment; odd, since the 2005 vintage was forward, almost fat, and the wine has been in bottle for quite some time. It holds firm, dark fruits and is slightly grainy, but well-ripened tannins carry the wine, and it's less dependent upon oak treatments and flavors of vanilla and cream. But in the back, this is a stiff and fairly tannic wine, with a disconnect between the strawberry fruit and the slightly stemmy, herbal finish."
1865 Single Vineyard;23;Herbal, minty blackberry flavors are woody and show a hint of graphite, while coffee, carob and burnt toast flavors blend with green notes on the finish. A heavy, tannic palate brings the weight and thickness, while flavors of blackberry and boysenberry come with salty notes and a briny, herbal finish. Lightly herbal flavors of currant and plum are spicy and finish with oak-driven notes of toast as well as green olive and pointed acidity.
Brut Nature;23;Funky on the nose, then tangy and briny in the mouth, with lemon, green notes and pickled flavors that lose clarity and fruit content with airing. Grassy on the nose, and for a brut nature this is decidedly flat in aromas, with ultradry flavors of lime and tangerine along with powdery vanilla. The nose delivers dry apple and pear aromas, while the palate is fairly full and round for the style, with apple and lime flavors.
Reserva Especial;23;The mouthfeel is driven by hard, drying tannins, while flavors of herbal berry, roasted plum, animal and savory spices end in a peppery, sauvage type of finish. It took this Concha y Toro specialty label a few years to find its footing with Sauvignon Blanc, but in 2010 they found it. A good mouthfeel with smooth tannins is suggestive of aged Burgundy or Merenzao (Trousseau), while rooty, earthy flavors of leaves and tea are interesting.
Bernkasteler Badstube Kabinett;23;Petrol and slate aromas lead into a wine that's round in the mouth but relatively dry in style, with good length and minerality on the finish. It shows hints of wet stone, but also layers of sweet apple, pear and lemon fruit, which ease into a long, harmoniously crisp and clean finish. For a Pauly Bergweiler wine, this is atypically minerally, as its wines have tended toward the lush, fruity side of the spectrum over recent years.
H3;23;Fruit-powered, but more substantial than either the Grand Estates or the Two Vines, this shows persistent flavors of tangy raspberry and blackberry, moderate acids and plenty of cocoa in the finish. It feels taut in the middle, as if needing more bottle age and/or breathing time to flesh out, but the structure is sound and the flavors clean and varietal. The oak (40% new French and American) is up front, with aromas of barrel spices, cocoa and generous amounts of vanilla followed by cherries and blue fruit.
120;23;Turns  slightly tart on the finish, but the bright feel and the light flavors make it a good candidate for a bar pour or party wine. If you don't mind a touch of herbal pickle and rhubarb on both the bouquet and palate, then this inexpensive Carmenère will do the job. The mouthfeel is clean and mild, while flavors of white grapefruit and lime finish sweet and easy, alongside notes of dried pineapple and mango.
Gran Selezione;23;Plum, truffle, tilled earth and a hint of mocha lead the nose while the ripe, round palate offers fleshy black cherry, crushed raspberry, baking spice and pipe tobacco. A blend of 80% Sangiovese, 12% Cabernet Franc and 8% Syrah, this concentrated wine opens with aromas of ripe black-skinned berry, exotic spice, vanilla and French oak. On the palate, juicy black cherry and crushed raspberry take center stage while accents of espresso, cedar, white pepper and menthol play supporting roles.
Spätlese;24;Weil's standard-label Spätlese shares the same core of minerality that its single-vineyard siblings boast, but in a slightly earthier, more rustic style marked by heady whiffs of pollen, saffron and spice. The sweetness is carried beautifully by ripe notions of peach, additional quince and apricot coulis, balanced and countered by the fresh, ripe and pliable acidity of oranges and tangerines. Sweet and richly textured, round mouthfeel with moderately intense flavors similar to nose with an added note of stem ginger and smoky spice on the finish.
Renaissance;24;A curious rosé that relies on a touch of Tempranillo to color the Chardonnay, Pinot Grigio and Symphony grapes, this shows sour orange and light plum on the nose. The first two, local grapes, lend a rough edge of tannins, which demands aging, but also give flavors of herbs, wild thyme and solid meaty character. A blend of rare and local Duras, Braucol and Prunelard grapes, it's firm and structured while also full of great black fruit and potential.
Conner Lee Vineyard;24;Aged for 22 months in 20% new French oak, this blend of 67% Cabernet Sauvignon and 33% Merlot completes a trio of excellent Conner Lee-designates from :Nota Bene in 2009. There is a generous streak of vanilla cream, a soft and very buttery mouthfeel, yet the fruit has enough precision and focus that the wine does not lose definition. Soft, plump and fruity, this pleasing, pure Washington Merlot pushes black cherry, coffee and baking chocolate flavors into a roundly accessible wine with no rough edges at all.
Signature Series;24;Winemaker Mike Mooney adds complexity with 16% Cabernet Sauvignon and 8% Merlot on this bottling, which shows blueberries, crushed black rocks and dark chocolate on the nose, but doesn't offer a lot of Cab Francness. Full-bodied and exuberant in lush tannins, this black Shiraz is concentrated and rich in hearty leather, espresso and black tea yet buoyed by lively acidity and beautiful streaks of black and white pepper. Ripe and tropical in pineapple, papaya and guava, this is a medium-bodied style of the variety, lightly oaked, which shows tart lemon on the finish and a lingering accent of anise.
Blanc de Noirs Brut;24;Rich, as a Blanc de Noirs from Pinot Noir should be, this wine reflects the prime location of Mailly on the north slopes of the Montagne de Reims. Hailing from the southern Aube region, where Pinot Noir ripens well, this Champagne is rich and full, with hints of red fruit, zesty orange and lemon-tinged minerality. This ripe, dense and full-bodied Champagne is full of apricot, pear and green plum flavors that are linked with the tight, lightly tannic texture.
Brosseau Vineyard;24;Winemaker Bill Brousseau taps his family vineyard for this bottling that leans toward a more delicate style, offering light white flowers, yellow melon, tangerine peels, kumquat, Asian pear and a hint of clove and cinnamon spice. Hearty aromas of baking spices, roasted fennel, ginger and light licorice give nuance to dried cherry, cranberry, beef bourguignon and sweet onion scents on this wine from the eastside of the Salinas Valley. Up there in the Chalone hills they have a lot of limestone, and you can taste the flint and chalk in this wine even through the lavish tropical fruit and spice.
Winemaker's Blend;24;Sourcing from three different, widely drawn appellations, with 33% of the grapes from Sonoma County, this white offers lemon-lime and grapefruit around a thin core of dried mint and lavender. Here, the kitchen sink approach works well, offering classic elements of herb, leather and savory plum, with a streak of black pepper and tannins that soften in the glass. Smoky oak supports a simple, supple texture of blackberry and tobacco in this likable wine from both counties, a good value for the quality and tailor-made for the table.
Gallina;24;The elegant, firmly structured palate doles out juicy black cherry, licorice, white pepper, clove and a hint of pipe tobacco alongside firm, fine-grained tannins that need a few more years to unwind. The linear, vibrant palate still shows its youth, offering juicy Marasca cherry, cranberry, white pepper and crushed herb flavors alongside fine-grained tannins that leave a firm finish. Ripe and jammy, the dense, one-dimensional palate offers black cherry extract, star anise, oak and a hint of vanilla set against a backbone of firm, close-grained tannins.
